PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40626041,Perspective on recent developments and challenges in regulatory and systems genomics.,None None 2025,Alejandra Medina-Rivera,"Laboratorio Internacional de Investigación sobre el Genoma Humano, Universidad Nacional Autónoma de México, Santiago de Querétaro 76230, Mexico.",
40625771,A rare case of primary prostate melanoma with extensive secondaries: case report.,None Jul 2025,"Kumanan Jayaraman, Rejeesh Selvaganesan, Binitta Sherin","Oncology, KIMS Health, TVM Main Road, Chukankadai, Nagercoil, 629003 India., Surgical Gastroenterology, KIMS Health, TVM Main Road, Chukankadai, Nagercoil, 629003 India., Pathology, KIMS Health, TVM Main Road, Chukankadai, Nagercoil, 629003 India.",
40624785,Clinical predictors of breakthrough reactions during initial rapid drug desensitizations to platinum chemotherapeutics.,01 Jul 2025,"Taylor R Knowles, Katharine J Nehme, So Lim Kim, Carol A Saltoun, Anju T Peters, Whitney W Stevens",", , , , , ",
40624367,"EHA-EMN Evidence-Based Guidelines for diagnosis, treatment and follow-up of patients with multiple myeloma.",07 Jul 2025,"Elena Zamagni, Paula Rodriguez-Otero, Michele Cavo, Jesus San-Miguel","IRCCS Azienda Ospedaliero-Universitaria di Bologna, Istituto di Ematologia ""Seràgnoli"", Bologna, Italy., Clinica Universidad de Navarra, CIMA, IDISNA, CIBERONC, Pamplona, Spain., Dipartimento di Scienze Mediche e Chirurgiche, Università di Bologna, Bologna, Italy., Clinica Universidad de Navarra, CIMA, IDISNA, CIBERONC, Pamplona, Spain.",eterpos@med.uoa.gr
40624238,IL-17A-secreting γδ T cells promote resistance to CDK4/CDK6 inhibitors in HR,07 Jul 2025,"Esther Navarro Manzano, Elena García-Martínez, Francisco Ayala de la Peña","Centro Regional de Hemodonación, Murcia, Spain., Instituto Murciano de Investigación Biosanitaria (IMIB-Arrixaca), Murcia, Spain., Instituto Murciano de Investigación Biosanitaria (IMIB-Arrixaca), Murcia, Spain.",deadoc80@gmail.com
40623886,"Platinum and etoposide chemotherapy, durvalumab with thoracic radiotherapy in the first-line treatment of patients with extensive-stage small-cell lung cancer: CHEST-RT (TROG 20.01) Trial - protocol for a phase II study.",07 Jul 2025,"Harriet Gee, Courtney Wheeler, Bridget Rooney, Rebecca Montgomery","Radiation Oncology Network, Western Sydney Local Health District, Sydney, New South Wales, Australia., Trans Tasman Radiation Oncology Group, Waratah, New South Wales, Australia., Trans Tasman Radiation Oncology Group, Waratah, New South Wales, Australia., Trans Tasman Radiation Oncology Group, Waratah, New South Wales, Australia.",eric.hau@health.nsw.gov.au
40623718,"Authors response to ""Letter to the Editor"": ""Tumor mutational burden and survival on immune checkpoint inhibition in >8000 patients across 24 cancer types"".",07 Jul 2025,Ryon P Graf,"Foundation Medicine Inc, San Diego, California, USA rgraf@foundationmedicine.com.",rgraf@foundationmedicine.com
40623716,Precision targeting of rhabdomyosarcoma by combining primary CAR NK cells and radiotherapy.,07 Jul 2025,"Florian Rothweiler, Jindrich Cinatl, Martin Michaelis","Dr Petra Joh-Haus, Frankfurter Stiftung für krebskranke Kinder, Frankfurt (Main), Germany., Dr Petra Joh-Haus, Frankfurter Stiftung für krebskranke Kinder, Frankfurt (Main), Germany., Dr Petra Joh-Haus, Frankfurter Stiftung für krebskranke Kinder, Frankfurt (Main), Germany.",Evelyn@Ullrichlab.de
40623177,Common inherited loss-of-function mutations in the innate sensor NOD2 contribute to exceptional immune response to cancer immunotherapy.,15 Jul 2025,Zia Khan,"Genentech, South San Francisco, CA 94080-4990.",
40623115,Passive immunotherapy for adults hospitalized with COVID-19: An individual participant data meta-analysis of six randomized controlled trials.,07 Jul 2025,"Helene C Highbarger, J Scott Overcash, Hassan Taha, David Vallee, ","Virus Isolation and Serology Laboratory, Frederick National Laboratory, Applied and Developmental Directorate, Frederick, Maryland, United States of America., Velocity Clinical Research, San Diego, California, United States of America., Stormont Vail Health, Vail, Colorado, United States of America., Frederick National Laboratory for Cancer Research/Leidos Biomedical Research, Frederick, Maryland, United States of America., ",
40622715,Multilevel Intervention and Human Papillomavirus Vaccination Disparities: A Secondary Analysis of a Cluster Randomized Trial.,01 Jul 2025,"Wei Yi Kong, Lila J Finney Rutten, Jennifer L St Sauver, Gregory D Jenkins, Robert M Jacobson","Division of Epidemiology, Mayo Clinic, Rochester, Minnesota., Division of Epidemiology, Mayo Clinic, Rochester, Minnesota., Division of Epidemiology, Mayo Clinic, Rochester, Minnesota., Division of Biomedical Statistics and Informatics, Mayo Clinic, Rochester, Minnesota., Division of Epidemiology, Mayo Clinic, Rochester, Minnesota.",
